Product ID,Published State,Purchase Type,Auto Translate,Locale; Title; Description,Auto Fill Prices,Price,Pricing Template ID
logic_inapp_0,published,managed_by_android,FALSE,en_US;5 Coins;Buy 5 Coins,TRUE,500000,
logic_inapp_1,published,managed_by_android,FALSE,en_US;10 Coins;Buy 10 Coins,TRUE,1000000,
logic_inapp_2,published,managed_by_android,FALSE,en_US;20 Coins;Buy 20 Coins,TRUE,2000000,
logic_inapp_3,published,managed_by_android,FALSE,en_US;30 Coins;Buy 30 Coins,TRUE,3000000,
logic_inapp_4,published,managed_by_android,FALSE,en_US;50 Coins;Buy 50 Coins,TRUE,5000000,
logic_inapp_5,published,managed_by_android,FALSE,en_US;90 Coins;Buy 90 Coins,TRUE,8000000,
logic_inapp_6,published,managed_by_android,FALSE,en_US;120 Coins;Buy 120 Coins,TRUE,10000000,
logic_inapp_7,published,managed_by_android,FALSE,en_US;180 Coins;Buy 180 Coins,TRUE,15000000,
logic_inapp_8,published,managed_by_android,FALSE,en_US;240 Coins;Buy 240 Coins,TRUE,20000000,
logic_inapp_9,published,managed_by_android,FALSE,en_US;310 Coins;Buy 310 Coins,TRUE,25000000,
logic_inapp_10,published,managed_by_android,FALSE,en_US;510 Coins;Buy 510 Coins,TRUE,40000000,
logic_inapp_11,published,managed_by_android,FALSE,en_US;650 Coins;Buy 650 Coins,TRUE,50000000,
logic_inapp_12,published,managed_by_android,FALSE,en_US;1330 Coins;Buy 1330 Coins,TRUE,100000000,
